word,freq,mean
شيأ,474,0.0474
حوس,408,0.0408
فعل,337,0.0337
رود,320,0.032
م,320,0.032
عرف,277,0.0277
نزل,263,0.0263
ذهب,256,0.0256
حدث,243,0.0243
أمر,243,0.0243
سعد,234,0.0234
حول,226,0.0226
عقد,217,0.0217
عمل,211,0.0211
خبر,201,0.0201
نظر,197,0.0197
سود,192,0.0192
علم,192,0.0192
قول,187,0.0187
روي,176,0.0176
دعا,174,0.0174
سمع,173,0.0173
شكر,173,0.0173
روح,173,0.0173
بدأ,172,0.0172
قلل,170,0.017
جود,164,0.0164
حقق,160,0.016
مول,154,0.0154
جبي,154,0.0154
دخل,152,0.0152
مكن,151,0.0151
مرحب,150,0.015
رجأ,146,0.0146
يوم,139,0.0139
وقف,138,0.0138
كتب,138,0.0138
فضل,134,0.0134
جدي,132,0.0132
بخر,132,0.0132
عود,131,0.0131
شخص,131,0.0131
مور,131,0.0131
عول,130,0.013
لهي,129,0.0129
عدا,129,0.0129
خرج,126,0.0126
صدق,125,0.0125
قتل,123,0.0123
وجد,120,0.012
بي,118,0.0118
عني,118,0.0118
قوم,118,0.0118
مرأ,115,0.0115
شرط,115,0.0115
يمكن,114,0.0114
صحح,112,0.0112
عزز,110,0.011
طفل,109,0.0109
بقي,108,0.0108
أخذ,107,0.0107
قدم,105,0.0105
نهي,105,0.0105
ربب,103,0.0103
طوع,100,0.01
موت,100,0.01
شهد,99,0.0099
شعر,98,0.0098
صور,95,0.0095
غرف,94,0.0094
حوج,93,0.0093
سبب,92,0.0092
أكد,92,0.0092
رجل,90,0.009
حضر,90,0.009
حيا,90,0.009
شوط,89,0.0089
حصل,88,0.0088
ولس,88,0.0088
طرق,87,0.0087
فهم,86,0.0086
طلب,86,0.0086
جعل,83,0.0083
ظ,82,0.0082
كلم,82,0.0082
أبن,80,0.008
لدي,80,0.008
د,79,0.0079
صلي,79,0.0079
كني,79,0.0079
نوم,78,0.0078
سول,78,0.0078
كرس,77,0.0077
ذكر,76,0.0076
كثر,76,0.0076
فتأ,75,0.0075
وضع,75,0.0075
طبع,75,0.0075
جني,75,0.0075
زوج,75,0.0075
ليل,73,0.0073
سمح,73,0.0073
قضي,72,0.0072
عطي,72,0.0072
أسف,72,0.0072
طول,71,0.0071
شكل,70,0.007
روع,70,0.007
سوك,69,0.0069
حسن,69,0.0069
سمي,69,0.0069
نفس,68,0.0068
قبل,68,0.0068
لوس,68,0.0068
فكر,67,0.0067
أخر,66,0.0066
أمن,65,0.0065
نسأ,65,0.0065
يتم,64,0.0064
لون,64,0.0064
بني,64,0.0064
درس,64,0.0064
عيش,63,0.0063
حوب,63,0.0063
غرب,63,0.0063
دفع,62,0.0062
كبر,62,0.0062
سفه,62,0.0062
كون,62,0.0062
بوس,61,0.0061
وقع,60,0.006
كوي,60,0.006
شئ,60,0.006
وقت,59,0.0059
ترك,59,0.0059
صوت,59,0.0059
بعد,58,0.0058
فقد,58,0.0058
رحل,57,0.0057
لذي,57,0.0057
عرض,57,0.0057
يود,57,0.0057
سوا,56,0.0056
خطا,56,0.0056
علا,56,0.0056
قرب,56,0.0056
عقل,56,0.0056
رأي,56,0.0056
خور,55,0.0055
اي,55,0.0055
خوف,55,0.0055
لبب,54,0.0054
سيأ,54,0.0054
رين,54,0.0054
لوب,54,0.0054
ولد,53,0.0053
سور,52,0.0052
