word,freq,mean
حوس,818,0.0818
عرف,692,0.0692
شيأ,672,0.0672
سود,580,0.058
فعل,563,0.0563
رود,495,0.0495
حدث,414,0.0414
ذهب,398,0.0398
أمر,392,0.0392
نظر,390,0.039
مرحب,378,0.0378
سعد,374,0.0374
حول,370,0.037
شكر,369,0.0369
جود,357,0.0357
رجل,350,0.035
عقد,346,0.0346
علم,345,0.0345
بدأ,342,0.0342
عمل,327,0.0327
حوب,318,0.0318
خبر,318,0.0318
جبي,307,0.0307
يوم,305,0.0305
قلل,304,0.0304
فضل,299,0.0299
قول,295,0.0295
عود,291,0.0291
دعا,277,0.0277
صدق,269,0.0269
روع,255,0.0255
حقق,255,0.0255
شعر,249,0.0249
زوج,246,0.0246
لدي,244,0.0244
حيا,230,0.023
جمل,222,0.0222
قرب,221,0.0221
قبل,220,0.022
ذكر,219,0.0219
عني,218,0.0218
نزل,215,0.0215
ربب,213,0.0213
فكر,211,0.0211
وقف,210,0.021
أكد,207,0.0207
كثر,200,0.02
عدا,199,0.0199
قدم,198,0.0198
صحح,194,0.0194
سمع,190,0.019
م,184,0.0184
أسف,180,0.018
شخص,178,0.0178
بي,178,0.0178
كني,178,0.0178
طرق,177,0.0177
لوس,176,0.0176
مرأ,172,0.0172
لهي,171,0.0171
فتأ,170,0.017
بخر,168,0.0168
حصل,168,0.0168
خرج,167,0.0167
مكن,166,0.0166
لون,165,0.0165
ولس,165,0.0165
نهي,163,0.0163
قوم,163,0.0163
كتب,162,0.0162
جدي,162,0.0162
حضر,160,0.016
لذي,155,0.0155
عزز,152,0.0152
طوع,152,0.0152
كبر,150,0.015
رسل,150,0.015
يمكن,148,0.0148
حسن,148,0.0148
روي,147,0.0147
ج,147,0.0147
رجأ,144,0.0144
سوك,144,0.0144
فهم,142,0.0142
طول,141,0.0141
بقي,141,0.0141
وضع,139,0.0139
دخل,139,0.0139
’,139,0.0139
ودي,135,0.0135
‘,135,0.0135
نسأ,134,0.0134
حوج,134,0.0134
جعل,129,0.0129
طبع,128,0.0128
ليل,126,0.0126
مور,125,0.0125
سبب,120,0.012
خور,118,0.0118
نفس,118,0.0118
سفه,118,0.0118
كون,115,0.0115
أخر,115,0.0115
نسب,114,0.0114
♪,113,0.0113
سرع,112,0.0112
لحظ,112,0.0112
هرأ,110,0.011
لقي,110,0.011
كلم,110,0.011
طفل,110,0.011
عذر,109,0.0109
ظ,109,0.0109
سور,107,0.0107
أرك,107,0.0107
علق,107,0.0107
جميع,105,0.0105
عجب,105,0.0105
حمل,104,0.0104
ثور,104,0.0104
صغر,104,0.0104
بوس,104,0.0104
وقع,103,0.0103
خطا,103,0.0103
ردد,103,0.0103
وقت,103,0.0103
سمي,103,0.0103
طلب,103,0.0103
صلي,102,0.0102
يتم,102,0.0102
حبك,101,0.0101
قلق,100,0.01
دائما,100,0.01
مهل,100,0.01
عول,99,0.0099
مرر,99,0.0099
فقأ,97,0.0097
جلس,97,0.0097
شكل,96,0.0096
درس,96,0.0096
رأي,95,0.0095
مول,95,0.0095
قدر,94,0.0094
لغا,93,0.0093
سيأ,92,0.0092
سفن,92,0.0092
سرر,91,0.0091
روز,91,0.0091
موت,90,0.009
وجد,90,0.009
وتر,90,0.009
تيم,89,0.0089
جمع,89,0.0089
سوا,89,0.0089
ت,88,0.0088
عطي,88,0.0088
روس,88,0.0088
جدد,87,0.0087
بدن,87,0.0087
علا,87,0.0087
ويل,86,0.0086
قلب,86,0.0086
