training,freq,class
مكن,319,crime
علق,94,crime
شري,38,crime
هدف,26,crime
لوي,33,crime
راح,14,crime
صدف,23,crime
كون,109,crime
جهد,19,crime
ضوأ,12,crime
شدد,14,crime
حطم,18,crime
فلم,16,crime
أذن,12,crime
فتر,54,crime
قهي,14,crime
هدأ,76,crime
عمي,30,crime
نفي,22,crime
سخف,21,crime
مسك,29,crime
سنه,19,crime
حجز,18,crime
مكث,16,crime
منا,51,crime
ت,87,crime
كوي,33,crime
وقع,153,crime
جبر,14,crime
وفي,17,crime
شكل,145,crime
بلد,63,crime
صول,51,crime
حرف,30,crime
رهن,40,crime
جحم,79,crime
بله,26,crime
روب,32,crime
ضحك,27,crime
حري,34,crime
غوط,27,crime
حمق,64,crime
دعك,14,crime
لفت,18,crime
تيم,17,crime
شقق,26,crime
لم,23,crime
غادر,21,crime
حبب,47,crime
بين,20,crime
دون,55,crime
وضم,16,crime
شوب,18,crime
عقب,55,crime
ريي,100,crime
فكر,221,crime
كلف,24,crime
زول,40,crime
هتف,64,crime
تره,18,crime
موت,107,crime
أله,41,crime
وعد,33,crime
بوس,74,crime
زجج,27,crime
غرف,58,crime
جعل,133,crime
عطل,15,crime
بومب,16,crime
أكل,29,crime
ظهر,110,crime
كسر,24,crime
بعد,105,crime
بوأ,34,crime
جوس,65,crime
بعض,25,crime
كرس,49,crime
هذي,22,crime
بطق,23,crime
خذأ,74,crime
زور,46,crime
أتم,59,crime
علا,108,crime
صغي,16,crime
شجر,13,crime
وزي,13,crime
سقي,13,crime
نهر,22,crime
وفق,43,crime
جبه,14,crime
فتح,94,crime
ملك,132,crime
لا,61,crime
فعل,619,crime
طلع,13,crime
لبن,19,crime
ضحي,39,crime
دول,17,crime
شخص,257,crime
عجب,100,crime
سبق,107,crime
ودي,142,crime
نتج,28,crime
قوس,15,crime
خوص,57,crime
شقي,29,crime
فهم,183,crime
برب,19,crime
سفر,15,crime
نشأ,34,crime
تلا,45,crime
هيأ,14,crime
يسر,39,crime
ذرع,24,crime
رحم,17,crime
أبن,109,crime
سلم,77,crime
أصل,15,crime
بدأ,369,crime
مارس,21,crime
فوح,42,crime
وسل,14,crime
تكساس,15,crime
نخب,18,crime
موردكاي,27,crime
تهم,35,crime
وقت,106,crime
نسك,13,crime
مثل,42,crime
برع,37,crime
ستر,66,crime
كره,47,crime
سوك,165,crime
قرن,24,crime
فخر,18,crime
لغا,102,crime
فوق,28,crime
قلي,12,crime
عطي,147,crime
ندا,160,crime
نذر,13,crime
لطف,31,crime
عزز,73,crime
قمص,20,crime
ذكر,216,crime
مرض,16,crime
سوع,84,crime
رمز,32,crime
خلق,17,crime
حلم,20,crime
حظظ,42,crime
قبع,13,crime
لهي,108,crime
ب,30,crime
دالاس,20,crime
كشف,61,crime
بامكاني,13,crime
حوس,776,crime
ضيف,42,crime
عون,53,crime
سلك,41,crime
ردد,88,crime
لحد,18,crime
كفأ,73,crime
عصب,70,crime
شغل,51,crime
عظم,48,crime
عبث,29,crime
خفي,82,crime
دقق,56,crime
جلس,144,crime
عقد,204,crime
هند,19,crime
فرانسيس,48,crime
غيب,13,crime
صلح,75,crime
روكو,30,crime
نصت,16,crime
شوك,14,crime
لبس,25,crime
حرس,47,crime
صفح,16,crime
زيف,16,crime
فندق,19,crime
كلب,111,crime
ولس,165,crime
قرح,13,crime
قوم,249,crime
شور,27,crime
س,40,crime
حقق,328,crime
وثق,89,crime
نوأ,18,crime
مركز,24,crime
عجز,35,crime
هرب,53,crime
برك,26,crime
سنن,22,crime
حضر,162,crime
وري,21,crime
سوق,21,crime
حسن,111,crime
طول,165,crime
نوب,71,crime
دوفرين,27,crime
ثالث,20,crime
عمد,32,crime
جون,29,crime
سمك,44,crime
نقط,14,crime
قضب,14,crime
ميكي,32,crime
