training,freq,class
نصح,11,horror
خرس,10,horror
قول,187,horror
ربأ,10,horror
سري,19,horror
ضحك,10,horror
اذ,9,horror
حلق,6,horror
سرر,24,horror
ماثيو,6,horror
كمل,31,horror
ولس,88,horror
ذهن,6,horror
رده,5,horror
شرف,10,horror
كذب,18,horror
رفض,12,horror
جذب,10,horror
دلل,21,horror
بعد,58,horror
عبث,6,horror
رعب,9,horror
ثبت,18,horror
كره,19,horror
فجأ,13,horror
خرأ,8,horror
شرب,22,horror
فرض,37,horror
نزل,263,horror
كنه,5,horror
أزل,16,horror
نقل,51,horror
خشي,11,horror
كسي,15,horror
غ,6,horror
صون,7,horror
رجأ,146,horror
قهي,20,horror
وقد,6,horror
ردأ,15,horror
ترجم,34,horror
بحث,40,horror
حفظ,21,horror
منح,10,horror
شره,8,horror
قلل,170,horror
و,25,horror
ومس,12,horror
جدي,132,horror
شئ,60,horror
لم,9,horror
غادر,17,horror
رغب,18,horror
موج,7,horror
درك,11,horror
د,79,horror
صناديق,10,horror
لحظ,36,horror
جون,23,horror
شجع,7,horror
فسر,22,horror
كبي,12,horror
تلفاز,8,horror
شمع,6,horror
سحب,7,horror
سفه,62,horror
طرق,87,horror
سور,52,horror
بضع,13,horror
خمر,5,horror
حين,28,horror
سوك,69,horror
دائما,33,horror
غير,11,horror
خلص,15,horror
ستر,21,horror
جرم,40,horror
ت,51,horror
منا,24,horror
جبه,13,horror
عقد,217,horror
قبل,68,horror
عنه,41,horror
حلل,16,horror
كارترايت,8,horror
أله,21,horror
متع,8,horror
جبي,154,horror
رقم,16,horror
حفل,9,horror
ميلو,5,horror
عفن,5,horror
لا,30,horror
حود,16,horror
عدا,129,horror
عند,20,horror
زول,19,horror
حدث,243,horror
قتل,123,horror
خبأ,12,horror
رول,5,horror
شبب,5,horror
بشع,6,horror
لبد,43,horror
تمم,6,horror
صبأ,14,horror
كوابيس,14,horror
وشم,5,horror
فقأ,32,horror
جيمس,5,horror
لي,29,horror
كيل,37,horror
بوغ,13,horror
فطر,5,horror
حول,226,horror
ضغط,7,horror
حمأ,37,horror
لكأ,16,horror
ثوب,5,horror
فضل,134,horror
خطب,31,horror
ميع,4,horror
ستكون,9,horror
ز,16,horror
ذرع,11,horror
نجب,6,horror
حمق,9,horror
جهي,15,horror
حدق,8,horror
فود,7,horror
متن,5,horror
خرف,7,horror
دلي,7,horror
خلق,6,horror
رمز,13,horror
تكي,16,horror
مورجان,21,horror
ذهل,10,horror
جود,164,horror
خول,37,horror
بد,7,horror
برونر,8,horror
زعج,11,horror
قضي,72,horror
ريتشارد,12,horror
فظع,7,horror
طقي,11,horror
رحب,13,horror
خرق,16,horror
حذي,5,horror
خطف,5,horror
بسكويت,6,horror
جرأ,26,horror
خفض,8,horror
يكون,8,horror
مسح,12,horror
قصد,30,horror
حظي,8,horror
صوت,59,horror
حيا,90,horror
ربط,23,horror
زجج,5,horror
تهم,19,horror
جوز,10,horror
سخف,13,horror
فصم,6,horror
وثق,33,horror
عول,130,horror
درس,64,horror
جهد,9,horror
برح,6,horror
علج,28,horror
راح,6,horror
غرم,8,horror
رعي,13,horror
حوس,408,horror
عوه,7,horror
عظم,15,horror
سيطر,8,horror
كشف,28,horror
ثور,10,horror
غرف,94,horror
صرخ,13,horror
طبع,75,horror
صعد,12,horror
ترك,59,horror
قلق,43,horror
طفل,109,horror
بوس,61,horror
روي,176,horror
رجع,25,horror
لحي,9,horror
ن,17,horror
حقق,160,horror
لازال,9,horror
خطا,56,horror
موه,20,horror
عقب,10,horror
ثالث,11,horror
شدد,9,horror
ظنن,5,horror
حوط,25,horror
نقد,21,horror
سرق,9,horror
جوع,6,horror
صندوق,12,horror
قصر,8,horror
دور,43,horror
شبح,13,horror
دوريس,33,horror
فتر,17,horror
بكر,12,horror
شنق,6,horror
ظل,9,horror
عطل,9,horror
سوق,8,horror
طرف,7,horror
غدر,20,horror
لفت,7,horror
عاشر,5,horror
وحد,46,horror
حوذ,13,horror
ست,18,horror
بدر,5,horror
خفي,23,horror
عشرين,5,horror
شهر,30,horror
قوم,118,horror
وغد,8,horror
لمس,21,horror
جرد,51,horror
صبح,20,horror
ملك,36,horror
م,320,horror
قدم,105,horror
غلب,9,horror
ذوق,6,horror
ختل,10,horror
لبس,32,horror
لعب,42,horror
وجب,9,horror
أسن,6,horror
بول,39,horror
مدين,12,horror
جوناس,5,horror
فعل,337,horror
وسل,14,horror
حوج,93,horror
وزن,5,horror
خور,55,horror
اشتقت,11,horror
قوه,12,horror
شرك,29,horror
هوبر,6,horror
علن,12,horror
قوت,7,horror
شون,25,horror
لقط,37,horror
كسر,17,horror
نكل,5,horror
عوف,8,horror
جمد,6,horror
تستطيعي,6,horror
ربب,103,horror
جلي,15,horror
يقظ,46,horror
سلسل,5,horror
ولف,29,horror
برك,6,horror
نحر,8,horror
ليل,73,horror
أمن,65,horror
خبر,201,horror
نصت,7,horror
قود,30,horror
مهي,19,horror
دكتوره,8,horror
شحن,5,horror
بلد,17,horror
مون,26,horror
لغا,41,horror
هيأ,12,horror
شخص,131,horror
طعم,18,horror
أرض,15,horror
دفع,62,horror
سطع,12,horror
عهر,23,horror
اصدقائي,7,horror
صفف,21,horror
عشي,12,horror
جمع,42,horror
عوض,6,horror
قصص,47,horror
فور,15,horror
نوت,10,horror
هدأ,46,horror
بين,8,horror
كابوس,7,horror
سلح,15,horror
نفع,8,horror
لذي,57,horror
دوأ,24,horror
صدر,15,horror
شوق,5,horror
أرخ,10,horror
فوح,17,horror
فلم,10,horror
نفي,10,horror
سفر,5,horror
هون,21,horror
لقس,7,horror
كاميرا,11,horror
حري,14,horror
جزأ,26,horror
يتم,64,horror
نمر,6,horror
تريفور,18,horror
جهز,34,horror
كلأ,21,horror
غرب,63,horror
سعي,22,horror
صمي,9,horror
منطق,8,horror
يمن,15,horror
سوح,18,horror
دوب,7,horror
روع,70,horror
لخص,10,horror
درأ,28,horror
عرض,57,horror
دمي,34,horror
كرم,5,horror
نهي,105,horror
وقف,138,horror
هرأ,14,horror
عدم,17,horror
أخت,24,horror
بخر,132,horror
غضب,26,horror
عزل,7,horror
درج,28,horror
عذب,5,horror
سفل,38,horror
هلك,9,horror
فشل,14,horror
قرض,7,horror
كرس,77,horror
طفأ,20,horror
خلف,35,horror
علق,43,horror
حذر,19,horror
غرس,6,horror
طاق,5,horror
لوك,11,horror
برب,6,horror
سكن,32,horror
صرح,13,horror
نجح,19,horror
جوس,6,horror
نوس,51,horror
دخل,152,horror
تير,6,horror
لبأ,9,horror
سمع,173,horror
بسط,22,horror
محق,23,horror
جرح,9,horror
طوف,13,horror
جلس,44,horror
عقل,56,horror
نجد,42,horror
قصا,8,horror
مثل,29,horror
دله,5,horror
وكل,11,horror
لوح,12,horror
شرر,21,horror
سجل,34,horror
لحق,44,horror
جوب,15,horror
صرع,29,horror
حرج,6,horror
شيأ,474,horror
رسل,43,horror
بوأ,6,horror
صوتي,19,horror
ألم,37,horror
رغم,11,horror
جنب,32,horror
سمك,20,horror
ضوع,13,horror
ق,12,horror
خلي,7,horror
طرا,9,horror
كبر,62,horror
تيس,9,horror
كوي,60,horror
طوب,13,horror
شرع,15,horror
وضع,75,horror
سيأ,54,horror
حلف,8,horror
تكون,9,horror
كلم,82,horror
صدم,10,horror
موت,100,horror
نبت,13,horror
أكد,92,horror
لون,64,horror
قحم,5,horror
صغي,11,horror
لشي,21,horror
حسس,5,horror
بدأ,172,horror
ضمن,7,horror
نتأ,32,horror
ظهر,47,horror
غلوريا,5,horror
دال,51,horror
شفي,34,horror
حقن,7,horror
رود,320,horror
رأي,56,horror
هندس,6,horror
لبب,54,horror
غرض,17,horror
نسخ,17,horror
وسط,15,horror
نوم,78,horror
شبه,28,horror
دهي,8,horror
تستطيعين,6,horror
نفذ,16,horror
حرر,14,horror
طور,14,horror
نور,45,horror
سعط,5,horror
سكر,5,horror
كني,79,horror
برع,6,horror
رهن,6,horror
وبش,28,horror
بذل,5,horror
شكل,70,horror
أتم,20,horror
حلم,29,horror
نذر,8,horror
نقذ,8,horror
خطط,19,horror
ولد,53,horror
روح,173,horror
قوس,14,horror
طبخ,11,horror
عمم,13,horror
عصر,6,horror
طوع,100,horror
سقط,12,horror
سنن,11,horror
وتي,27,horror
سوا,56,horror
جهل,5,horror
أبن,80,horror
شمس,5,horror
عمل,211,horror
ركب,14,horror
مرحب,150,horror
ضعف,10,horror
بور,11,horror
عزز,110,horror
فضي,5,horror
حبن,7,horror
لحد,6,horror
لوف,12,horror
سوس,15,horror
بقي,108,horror
نسب,33,horror
مشي,10,horror
يمكن,114,horror
روري,7,horror
عبأ,8,horror
قلب,31,horror
قدر,51,horror
منع,27,horror
ورن,35,horror
تيمبو,5,horror
الذي,28,horror
يسر,15,horror
حوت,28,horror
سمح,73,horror
حمل,44,horror
قرب,56,horror
شنأ,6,horror
عجل,5,horror
هنأ,18,horror
صور,95,horror
نقم,14,horror
شرح,17,horror
عدد,25,horror
ملتوي♪,6,horror
ندب,7,horror
ميلر,9,horror
شبك,5,horror
قفل,14,horror
عنف,7,horror
بلي,10,horror
عنز,5,horror
رحم,5,horror
صغر,45,horror
حوب,63,horror
لوي,20,horror
صوب,44,horror
دمغ,10,horror
جزل,9,horror
ويل,50,horror
ردد,49,horror
مايكل,7,horror
سجن,9,horror
كلب,25,horror
دكك,15,horror
جامبوترول,5,horror
كل,10,horror
بعض,16,horror
شور,15,horror
سهل,14,horror
حرك,26,horror
قوط,17,horror
تبع,40,horror
شعر,98,horror
سعف,6,horror
كفأ,32,horror
وفر,8,horror
ضحي,34,horror
قدس,24,horror
سبع,22,horror
صرف,13,horror
فيلم,7,horror
روجر,24,horror
حرق,34,horror
عمر,27,horror
يوم,139,horror
