training,freq
دكك,28
دهي,10
لمس,26
عتد,16
قطع,67
يمكن,148
ثلج,17
شفي,42
بهج,17
ضجع,29
صدر,25
مثل,62
فوه,13
عجز,31
عزف,14
طبب,32
أجر,10
جايكوب,10
نستطيع,16
صفف,24
شرف,42
مون,34
عطي,88
مركز,15
بيع,34
عدل,39
روس,88
خول,28
كرى,16
ما,18
جهي,38
رفض,13
زرق,12
سعد,374
نوح,73
تقي,11
بي,178
ظنت,24
أسر,21
عوف,11
طوع,152
بعض,42
صبح,48
ك,14
سامرز,11
جدي,162
هنأ,47
ريي,35
حوض,9
كسب,9
ضغط,20
عمر,63
نرد,9
بسر,12
فسر,19
عيش,64
هتف,38
عكس,14
صدم,21
وتر,90
تشارلز,13
صباح,15
شوه,23
قلي,15
قلق,100
بجد,15
أنس,68
هايزل,83
قلل,304
ودج,70
دوك,18
نقذ,28
ربط,21
فريدريكا,69
ولي,76
أبق,18
ست,26
ختم,13
غضب,31
ندا,40
هذي,26
ليندهاجن,15
ضرر,22
نحتاج,19
شطأ,10
خطا,103
طور,48
وزن,67
ر,48
حصل,168
سرط,40
غدر,26
ايغلز,21
كثر,200
ريجنالد,38
لغا,93
بكأ,20
بضع,13
درس,96
سوس,12
وصل,56
عشي,54
طفل,110
غلق,26
شون,44
رود,495
نزل,215
جدر,29
بكر,17
ودي,135
هجر,12
هوم,18
قصص,71
غور,46
رجع,63
ركز,19
بذل,10
خطر,33
جهز,36
صمت,20
بامكاني,9
سعي,35
شيأ,672
فتت,11
شغل,37
جور,31
نقل,50
لوك,53
رمي,11
وسن,19
ميلاد,10
نصح,13
عرس,11
وحد,60
قلب,86
او,11
ليل,126
صفا,11
نجد,30
حزن,28
تجر,14
لوق,24
وجد,90
سكر,13
عمل,327
منطق,10
ثني,54
قمر,22
رهق,12
خلص,20
ضوأ,26
شمس,11
حسن,148
شعل,11
فعل,563
قهي,19
جرح,25
أمن,55
عشر,11
فرنش,14
سلط,11
أرض,26
كسر,20
لغد,15
شجع,18
جمع,89
أتم,49
مانورينج,40
بقي,141
همم,24
دمي,19
لعب,61
ظرف,12
عوض,16
شرك,74
هرب,13
وظف,23
وسط,15
قصر,28
بسط,45
خوف,55
مرحب,378
درأ,59
قمأ,39
فقد,81
دكتور,21
سكن,17
تيم,89
مرس,13
أثر,26
عظم,71
ديفيد,24
ضوع,18
كلم,110
فسد,31
غاس,38
لبد,48
غرض,17
خزن,15
برا,66
خلي,24
كلب,33
نيويورك,19
سقر,12
دوي,10
سلت,17
ي,55
رخص,19
حوط,29
خصص,38
غادر,20
بوأ,13
طرا,10
كلف,16
ضيف,36
صعب,58
ديكورسي,25
حلك,50
لخص,12
بحر,21
دفع,63
روع,255
عرف,692
جوي,44
خفي,34
سوا,89
دعا,277
نزع,13
شعر,249
شور,28
نطق,10
رقص,66
دلل,10
لوز,11
قمص,30
حرف,35
شهر,42
جئت,11
طقي,20
أصل,24
حجم,11
نقط,29
لوم,38
عهد,10
رقب,25
كلير,28
نوأ,10
برد,55
ألم,67
قرر,43
رول,17
رصف,16
طرد,25
عبأ,17
تلا,35
جون,23
قصا,12
طبي,18
شمال,11
ضمن,15
سادس,13
طوف,22
فرش,9
ورم,17
بطق,29
ودع,13
ظنن,13
نكأ,24
فجأ,43
زفف,51
قعي,36
وسل,10
دوم,18
صفق,24
دقق,56
زود,60
شقق,18
سهل,39
جرب,39
وثق,59
جنجر,10
سمك,30
سرح,17
غني,71
لشي,32
ورق,13
وجه,47
هور,16
بشر,29
لوف,15
تكي,22
عقل,47
